what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.workbench,2.0.201.v200911302230,"org.eclipse.jem.workbench",1362874246359
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1362874246369
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1362874246394
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1362874246698
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1362874246747
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1362874246755
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1362874246765
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1362874275830
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874303668
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874417756
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874430479
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874446670
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1362874455173
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1362874455188
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1362874455190
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874455247
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874461034
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874474343
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874489586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874494457
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874503279
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874506981
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874510564
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874525434
